ontology_filename,search_query,result_type,title,url,snippet,relevance_score,match_type
aec3po,"""AEC3PO"" ontology",official_namespace,AEC3PO,https://w3id.org/lbd/aec3po/,"The Architecture, Engineering, Construction, Compliance Checking and Permitting Ontology (AEC3PO) is an ontology developed to support the automated compliance checking of construction, renovation, and demolition works.",0.925,exact_ontology
aec3po,"""AEC3PO"" ontology",other,AEC3PO Ontology Documentation,https://accordproject.eu/aec3po/,"In the figure, the AEC3PO ontology is positioned at the center, with arrows extending outward to connect with other related ontologies. Each ontology is represented as a distinct node, emphasising the integration of diverse knowledge domains.",0.85,exact_ontology
aec3po,"""AEC3PO"" Planning Permission ontology",other,AEC3PO: document,https://ci.mines-stetienne.fr/aec3po/document,"Description The AEC3PO Document module describes building-compliance related documents, their subdivisions, down to statements and atomic tagged strings or figures. Document subdivisions can be described as literals, link to their first part, and to their immediate following subdivision.",0.78,exact_ontology
aec3po,"""https://w3id.org/lbd/aec3po""",other,AEC3PO,https://ci.mines-stetienne.fr/aec3po/,https://w3id.org/lbd/aec3po/ Title · AEC3PO · Creator · https://w3id.org/lbd/aec3po/edlira · https://w3id.org/lbd/aec3po/pan · Contributor · http://maxime-lefrancois.info/me# https://w3id.org/lbd/aec3po/amna · https://w3id.org/lbd/aec3po/thomas · https://w3id.org/lbd/aec3po/vladimir ·,0.78,exact_ontology
aec3po,"""https://w3id.org/lbd/aec3po""",other,AEC3PO: evidence,https://ci.mines-stetienne.fr/aec3po/evidence,The AEC3PO Evidence module describes all resources that can be used to assess the validity and relevance of the statement.,0.775,exact_ontology
aec3po,"""AEC3PO"" Planning Permission ontology",documentation,"AEC3PO: Architecture, Engineering, Construction Compliance Checking and Permitting Ontology – Ontologies Catalogue",https://ontologies.buildingdigitaltwin.org/ontology/aec3po-architecture-engineering-construction-compliance-checking-and-permitting-ontology/,"Dec 19, 2023 · AEC3PO is designed to model compliance and permitting processes in the construction industry, on DBP. It captures aspects such as building codes, regulations, and standards, making it highly relevant for digital twins in the AEC (Architecture, Engineering, and Construction) sector.",0.7730769230769231,exact_ontology
aec3po,"""https://w3id.org/lbd/aec3po""",other,AEC3PO: Data Requirement,https://ci.mines-stetienne.fr/aec3po/data_requirement,aec3po · https://w3id.org/lbd/aec3po/ cc · http://creativecommons.org/ns# dct · http://purl.org/dc/terms/ owl · http://www.w3.org/2002/07/owl# prov · http://www.w3.org/ns/prov# rdf · http://www.w3.org/1999/02/22-rdf-syntax-ns# rdfs · http://www.w3.org/2000/01/rdf-schema# skos ·,0.7714285714285715,exact_ontology
aec3po,"""AEC3PO"" Planning Permission ontology",github_repo,"GitHub - Accord-Project/aec3po: AEC3PO: Architecture ...Digital Building Permit Ontology Released - ACCORD Partnersaec3po/README.md at main · Accord-Project/aec3po · GitHubACCORD Building Compliance Ontology - ACCORD Project ...AEC3PO: Architecture, Engineering, Construction Compliance ...AEC3PO: document",https://github.com/Accord-Project/aec3po,"The Architecture, Engineering, Construction, Compliance Checking and Permitting Ontology (AEC3PO) is an ontology developed in the context of the Automated Compliance Checks for Construction, Renovation or Demolition Works (ACCORD) project, which is a Horizon European project that aims to digitalise permitting and compliance processes.",0.7636363636363637,exact_ontology
aic,"""Agents in Construction (AiC) Ontology"" ontology",official_namespace,Agents in Construction (AiC) Ontology,https://w3id.org/aic#,"The Agents in Construction (AiC) ontology is a lightweight semantic model for coordinating on-site production in construction. It represents construction agents (human workers, robots, and other autonomous hardware) and their state as they operate on a site: the processes they carry out, the elements they modify, the resources they handle, and the ...",1.0,exact_ontology
aic,"""Agents in Construction (AiC) Ontology"" ontology",documentation,Agents in Construction (AiC) Ontology,https://digiconstructlab-tu-delft.github.io/AiC-Ontology/,The Agents in Construction (AiC) ontology is a lightweight semantic model for coordinating on-site production in construction.,0.9,exact_ontology
ao,"""Annotations Ontology"" ontology",documentation,Annotations Ontology,http://bimerr.iot.linkeddata.es/def/annotation-objects#,"The Annotation Objects ontology aims to represent the annotations produced during the development of a building renovation project. These annotations serve to inform about issues or missing information that could be relevant for the project, such as indicating that a building element is missing in the BIM model.",1.0,exact_ontology
ao,"""http://bimerr.iot.linkeddata.es/def/annotation-objects""",github_repo,GitHub - oeg-upm/bimerr-annotation-objects: BIMERR ontology for Annotated Information Objects domain,https://github.com/oeg-upm/bimerr-annotation-objects,oeg-upm / bimerr-annotation-objects Public.BIMERR ontology for Annotated Information Objects domain. Resources. Readme.,0.778125,exact_ontology
ao,"""http://bimerr.iot.linkeddata.es/def/annotation-objects""",documentation,Annotations Ontology,https://bimerr.iot.linkeddata.es/def/annotation-objects/,"Annotation Objects Ontology.María Poveda-Villalón,Serge Chávez-Feria. Annotated Information Objects Ontology. Revision: 0.0.2.",0.75,exact_ontology
asb,"""ASB-ING Ontology"" ontology",official_namespace,ASB-ING Ontology,https://w3id.org/asbingowl/core#,the ”ASBING” - the German standard data model to describe infrastructural artefacts in many use cases. It supports semantic description of infrastructure elements especially bridges enabling standardised documentation of inspections conditions and quality information across diverse infrastructure management and assessment use cases within public asset ...,1.0,exact_ontology
asb,"""ASB-ING Ontology"" ontology",documentation,ASB-ING Ontology,https://annegoebels.github.io/asb/core/,"The ASB-ING Ontology is a Linked-Data compatible version of it, which allows to represent the inspeciton data in RDF Graphs, which can contribute to a Digital Twin of an existing infrastructure asset.",0.9,exact_ontology
bao,"""Building Assessment Ontology"" ontology",documentation,Building Assessment Ontology,https://alexdonkers.github.io/bao#,"The Building Assessment Ontology is a consice ontology, developed to semantically describe standards, building codes, certification schemes and regulations in the AEC industry. It's aim is to make the integration of such schemes with the actual building easier, to automate the performance evaluation of buildings.",0.9,exact_ontology
beo,"""Building Element Ontology"" ontology",other,Building Element Ontology,https://pi.pauwel.be/voc/buildingelement#,"The Building Element Ontology provides an ontology based on the IfcBuildingElement subtree in the IFC specification, containing a taxonomy of classes that allow to define common building elements.",1.0,exact_ontology
beo,"""Building Element Ontology"" ontology",other,Building Element Ontology,https://pi.pauwel.be/voc/buildingelement/index-en.html,Building Element Ontology. Revision: v0.1.0.,0.9,exact_ontology
bfp,"""Building Fire Protection"" ontology",paper,Intelligent control of building fire protection system using ...,https://www.sciencedirect.com/science/article/pii/S0926580522005982,"Mar 1, 2023 · This paper describes the use of digital twins (DTs) and semantic web technologies for the intelligent control of building fire protection (BFP) systems in fire accidents.",0.8,exact_ontology
bfp,"""Building Fire Protection"" Fire Safety",other,Importance of Fire Pump Rooms in Building Fire Protection... | TikTok,https://www.tiktok.com/@deltafireservices/video/7460118611747785992,"### Understanding Common Issues in Fire Pump Systems A fire pump room is an essential part of any building’s fire protection system. It houses the fire pump, which plays a vital role in supplying water to the building’s sprinkler system and other fi ...",0.795,exact_ontology
bfp,"""Building Fire Protection"" Fire Safety",other,"The three common misunderstandings of civil building fire protection zoning, many people are wrong!-Tiancheng Group",https://www.tcfiretech.com/news_detail_1/11.html,"For many students, the maximum allowable building area of the fire protection zone of civil buildings only needs to remember the table. In fact, only remember the table, cope with the exam is far from enough, but also pay attention to the following three misunderstandings",0.7764705882352941,exact_ontology
bot,"""The Building Topology Ontology (BOT)"" ontology",official_namespace,The Building Topology Ontology (BOT),https://w3id.org/bot#,BOT is a minimal ontology for describing the core topological concepts of a building. It focuses on spatial structure and relationships between buildings spaces and elements providing a reusable semantic foundation for building modelling and for extension by more specialised building ontologies.,1.0,exact_ontology
bot,"""The Building Topology Ontology (BOT)"" ontology",other,The Building Topology Ontology (BOT),https://akswnc7.informatik.uni-leipzig.de/dstreitmatter/archivo/w3id.org/bot/2020.07.11-231056/bot_type=generatedDocu.html,The definition of GIS and geometry is not within the scope of BOT and an appropriate ontology needs to be selected here by the user. The use of this property is potentially ambiguous and it might be removed or revised in future editions of the ontology.,0.9,exact_ontology
bot,"""The Building Topology Ontology (BOT)"" ontology",paper,The Building Topology Ontology (BOT) - liusemweb.github.io,https://liusemweb.github.io/CEON/ontology/bot/0.3.2/bot.pdf,"The Building Topology Ontology (BOT) is a simple ontology defining the core concepts of a building. It is a simple, easy to extend ontology for the construction industry to document and exchange building data on the web.",0.84375,exact_ontology
brick,"""Brick"" ontology",other,Introduction | Brick Ontology,https://brickschema.org/,"Brick: A Uniform Metadata Schema for Buildings # What is Brick? # Brick is an open-source effort to standardize semantic descriptions of the physical, logical and virtual assets in buildings ...",0.85,exact_ontology
brick,"""Brick"" ontology",documentation,Brick Ontology – Ontologies Catalogue,https://ontologies.buildingdigitaltwin.org/ontology/brick-ontology/,"Brick is an open-source effort to standardize semantic descriptions of the physical, logical and virtual assets in buildings and the relationships between them.",0.825,exact_ontology
brick,"""Brick"" ontology",other,Introduction — Brick Ontology Documentation,https://docs.brickschema.org/,"Brick is an open-source, BSD-licensed development effort to create a uniform schema for representing metadata in buildings. t models building equipment points and relationships supporting interoperability analytics and management of building systems across software platforms and operational use cases.",0.825,exact_ontology
brick,"""Brick"" ontology",other,Bricks ontology - brick - Classes | NCBO BioPortal,https://bioportal.bioontology.org/ontologies/BKO?p=classes,"Bricks ontology. Last uploaded: July 21, 2020.Class Mappings ( 10 ). Preferred Name. brick. Synonyms.",0.8,exact_ontology
brick,"""Brick"" BE Product (Building) ontology",documentation,BUILDING ONTOLOGY: MODERATE new python library using LLM and BRICK - MODERATE,https://moderate-project.eu/building-ontology-moderate-new-python-library-using-llm-and-brick/,"The Energy Efficient Building group at Eurac Research, alongside Politecnico di Torino, has unveiled brickllm, an innovative Python library leveraging large language models (LLMs) and the Brick ontology for building metadata.",0.7875,exact_ontology
brick,"""Brick"" ontology",documentation,Introduction to the Brick Ontology | ABB Ability™ BuildingPro Suites,https://docs.buildings.ability.abb/collection/academy/introduction-to-ontologies/introduction-to-the-brick-ontology,Introduction. Brick is a standardized ontology developed specifically for building automation and the management of building data. The goal of Brick is to provide a uniform and standardized ...,0.7833333333333333,exact_ontology
brick,"""Brick"" ontology",paper,Frontiers | Formalizing Tag-Based Metadata With the Brick Ontology,https://www.frontiersin.org/journals/built-environment/articles/10.3389/fbuil.2020.558034/full,"To address these issues, we present the design and implementation of the Brick+ ontology, a drop-in replacement for Brick with clear formal semantics that enables the inference of a valid ...",0.7833333333333333,exact_ontology
brick,"""Brick"" ontology",other,Brick | APIs.io Providers,https://providers.apis.io/providers/brick/,"The BRICK ontology v1.4.4 defines a standardized vocabulary of building. system concepts, relationships, and data model for smart building analytics.",0.78,exact_ontology
brick,"""Brick"" BE Product (Building)",other,Building With Brick in a Humid Climate - GreenBuildingAdvisor,https://www.greenbuildingadvisor.com/article/thick-as-a-brick,"Many of the brick installers squeeze the excess mortar out of the backside and this mortar provides a gateway into the wall assembly when there is cellulose and wood framing. Third, warm and sunny days with cold nights turns the brick into a condensing surface.",0.78,exact_ontology
brick,"""Brick"" BE Product (Building)",other,A new brick building in Manhattan is made of 577... - Fast Company,https://www.fastcompany.com/90720262/a-new-brick-building-in-manhattan-is-made-of-577367-pounds-of-recycled-waste,"The brick facade of The West, a new condo building with 219 residences, is made up of almost 580,000 pounds of demolition and industrial waste. Created by Dutch company StoneCycling, the recycled bricks contain 60% waste, including ceramic toilet bowls, roof tiles, and steel.",0.7714285714285715,exact_ontology
